country,2010,2012,2013,2014,2015,2017,2019,2021
EU,17.5,19.2,16,20.1,21.0,21.1,18.5,19.5
Belgium,28.4,24.2,:,22.2,23.6,26.9,24.9,25.7
Bulgaria,10.2,13.3,11.2,15.7,13.3,12.8,10.9,11.2
Czechia,10.3,17.2,:,15.7,17.4,16.4,14.9,11.5
Denmark,17.9,21.4,:,23.5,22.8,23.3,22.7,25.8
Germany,23.4,23.0,:,23.9,23.7,25.8,20.3,20.0
Estonia,9.3,10.3,10.7,15.3,19.9,15.2,16.3,14.6
Ireland,24.6,26.4,24.8,25.9,27.4,26.5,25.1,19.4
Greece,17.9,:,11.2,13.0,14.9,15.5,15.7,16.1
Spain,20.3,21.2,23.3,27.3,26.5,28.0,23.9,29.4
France,15.3,19.2,:,15.2,19.5,17.8,14.7,16.7
Croatia,10.6,13.2,14.0,12.2,15.4,12.2,10.2,10.5
Italy,14.5,17.4,16.6,18.3,18.7,18.4,15.0,17.0
Cyprus,16.1,18.8,16.4,21.6,26.3,29.2,19.3,25.1
Latvia,11.3,13.2,12.1,10.4,13.6,13.2,12.2,12.4
Lithuania,12.4,13.8,11.6,18.7,22.8,24.5,24.4,22.0
Luxembourg,19.0,17.5,20.5,22.0,22.2,23.0,17.6,19.0
Hungary,7.0,7.4,8.4,9.3,9.2,8.5,6.8,7.6
Malta,20.1,19.5,:,22.3,21.5,20.0,24.8,30.8
Netherlands,16.0,19.5,21.6,26.9,29.6,28.4,25.6,27.3
Austria,28.5,28.7,25.8,29.3,26.3,27.4,22.1,24.3
Poland,13.1,13.0,15.9,16.5,17.7,16.4,20.5,21.3
Portugal,15.3,17.6,19.9,19.3,22.4,17.8,16.7,15.6
Romania,14.3,13.4,11.2,13.5,15.4,13.4,14.3,10.9
Slovenia,11.0,15.2,16.6,15.8,17.0,13.5,10.4,12.6
Slovakia,25.2,19.6,18.6,15.6,16.7,16.9,15.4,15.7
Finland,27.4,26.7,31.1,30.5,28.1,23.0,26.5,27.7
Sweden,23.8,25.3,:,24.9,:,20.4,21.0,22.6
Iceland,15.2,16.0,11.3,12.7,:,9.6,:,:
Liechtenstein,:,:,:,:,:,:,:,:
Norway,22.4,23.6,18.4,20.6,20.6,20.1,16.4,21.3
Switzerland,:,:,:,:,:,:,:,:
United Kingdom,12.8,16.9,:,16.9,20.2,21.1,16.8,:
Bosnia and Herzegovina,:,:,:,:,:,:,8.6,11.1
Montenegro,:,:,:,:,:,:,:,23.1
North Macedonia,11.4,14.1,11.7,16.4,14.1,:,:,10.5
Albania,:,:,:,:,:,:,:,19.8
Serbia,:,:,:,12.3,:,11.7,13.1,6.7
Türkiye,21.2,:,:,:,6.5,13.6,13.4,7.6
