country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,:,:,:,0.35,0.32,2.47,2.1,0.94,0.79,0.81,0.75,:,:,:,:,:
Bulgaria,:,0,0,0,:,:,0,:,0.17,0.09,0.16,0.13,0.14,0.13,0.03,0.1
Czechia,0.07,0.09,0.11,0.25,0.19,0.17,0.16,0.11,0.04,0.06,0.06,0.03,0.03,0.02,0.02,0.04
Denmark,:,:,:,:,0.16,0.36,0.37,0.22,0.23,0.21,0.17,0.17,0.09,:,0.14,0.22
Germany,:,:,1.49,1.48,1.33,1.32,1.18,1.28,1.23,1.18,1.08,:,0.88,0.9,0.63,:
Estonia,:,:,:,:,0.12,0.09,0.07,0.06,0.4,0.31,0.54,0.51,1.11,1.1,1.03,:
Ireland,:,:,:,:,:,:,:,:,:,:,3.13,:,1.46,:,6,:
Greece,:,:,:,:,:,:,0.59,:,0.25,:,0.28,:,0.18,:,0.1,:
Spain,:,:,:,0.16,0.16,0.13,0.08,0.1,0.06,0.14,0.13,0.08,0.13,0.11,0.09,0.07
France,:,:,0.32,0.28,0.09,0.21,0.2,0.18,0.21,:,:,0.36,0.31,:,:,:
Croatia,0.44,0.57,0.5,:,0.38,0.02,0,0,0,0.05,0.19,0.32,0.4,0.77,0.41,0.55
Italy,:,:,0.53,0.37,0.29,0.35,0.34,0.41,0.42,0.39,0.42,0.4,0.44,0.47,0.49,0.48
Cyprus,:,:,:,0,0,0,0,0,0,0,0,:,:,:,:,:
Latvia,:,:,:,:,:,:,:,:,:,:,:,:,0,0,0,:
Lithuania,:,:,:,0.05,0.11,0.04,:,0.11,0.1,0.07,:,:,:,:,:,:
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,:,:,0.14,:,:,:,0.38,:,0.07,0.24,:,:,:,:,0.08,:
Malta,:,:,:,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,:,:,:,:,:,:,0.01,:,:,:,:,:,:,:,:,:
Austria,:,0.36,0.37,:,0.36,:,0.28,:,0.23,:,0.26,:,0.27,:,0.21,:
Poland,0.27,0.15,0.17,0.14,0.25,0.47,0.44,0.32,0.28,0.28,0.26,0.16,0.24,0.35,0.39,0.41
Portugal,:,:,0.19,0.16,:,0.18,0.19,0.29,0.39,0.37,0.28,0.38,0.34,0.3,0.27,0.16
Romania,:,:,:,1.15,1.04,0.47,:,:,:,:,0,0,0,0,0,0.03
Slovenia,:,:,:,0.2,0.1,0.09,0.13,0.16,0.26,0.1,0.17,0.1,:,:,0.45,:
Slovakia,0.46,:,:,0,0,:,:,:,:,:,:,:,:,0.38,0.38,0.35
Finland,:,:,:,:,:,:,:,:,:,:,0.15,0.16,:,:,:,:
Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Iceland,:,:,:,:,:,:,0.01,:,:,:,0,0,0,0,0,0
Norway,:,:,:,:,:,0.04,:,:,:,:,:,:,:,:,:,:
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,:,:,0.67,0.64,0.8,0.78,0.8,0.74,0.64,0.55,0.54,0.44,0.28,0.31,:,:
United States,:,:,:,3.36,2.87,3.24,3.35,2.58,1.94,2.18,2.28,4.74,5.23,5.12,:,:
China except Hong Kong,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Japan,3.96,4.34,4.58,3.73,3.67,3.47,3.63,3.65,3.7,3.5,3.14,3.14,2.77,2.96,2.92,:
South Korea,1.39,1.33,1.16,0.75,0.4,0.49,0.44,0.4,0.39,0.38,0.34,0.31,0.28,0.45,0.45,:
