countries,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
EU,4.19,4.31,4.34,4.06,3.96,3.89,4.12,4.12,4.19,4.36,4.44,4.89,5.23
Belgium,:,4.45,4.51,4.13,4.13,4.03,3.82,3.79,3.78,3.75,3.97,4.21,4.32
Bulgaria,5.01,4.84,4.8,4.63,4.53,4.69,4.88,5.02,5.36,5.72,6.07,6.62,7.37
Czechia,:,4.44,4.39,4.34,4.35,4.34,4.27,4.24,4.27,4.36,4.56,4.71,5.05
Denmark,4.63,4.83,4.62,4.62,:,:,:,:,:,:,4.58,4.48,4.6
Germany,3.98,4.15,3.91,4.04,4,4.08,4.17,4.23,4.13,4.18,4.39,4.38,4.44
Estonia,4.37,4.98,4.78,5.03,4.7,4.6,4.83,4.74,4.9,5.12,5.39,5.93,6.83
Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:
Greece,2.61,:,:,2.11,2.08,1.99,2.09,2.27,2.2,2.01,2.49,2.27,3.23
Spain,3.53,3.51,3.44,3.4,3.37,3.31,3.2,:,:,:,3.28,:,:
France,4.04,4,4.04,4.06,4.01,:,3.83,3.89,4,4.33,4.31,4.41,4.72
Croatia,4.13,4.04,4.54,3.98,3.83,4.04,4.01,4.13,4.15,4.3,4.37,4.47,4.99
Italy,3.39,:,:,3.41,3.47,3.24,3.21,3.22,3.27,3.33,3.29,3.35,:
Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,3.27,3.36,3.51,3.4,3.47,3.75,3.74,4.15,4.54,4.69,4.93,5.33,5.66
Lithuania,2.16,:,2.45,2.49,2.49,2.41,2.56,2.97,2.99,3.03,3.13,3.49,3.8
Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:
Hungary,5.79,5.7,5.61,5.9,5.69,5.78,5.58,5.72,5.63,5.96,5.95,6.13,6
Malta,6.68,5.92,7.23,8.89,8.44,6.55,6.9,6.86,6.94,7.77,7.43,:,8.02
Netherlands,:,:,:,:,:,4.9,:,:,:,:,:,:,:
Austria,3.19,3.14,3.12,3.25,3.15,3.23,:,3.37,3.46,3.49,3.58,3.67,3.63
Poland,:,3.07,3.21,3.3,3.16,3.06,3.09,3.15,3.23,3.35,3.58,3.63,3.77
Portugal,3.59,:,:,:,:,:,:,:,:,:,:,:,4.21
Romania,3.16,3.12,3.04,2.93,3.02,3.15,3.31,3.35,3.62,3.56,3.71,3.72,4.25
Slovenia,3.34,:,3.5,3.47,3.55,3.56,3.59,3.6,3.59,3.67,3.59,3.71,4.03
Slovakia,4.41,3.68,4.59,4.41,4.68,:,4.16,4.33,4,4.29,4.11,4.3,4.66
Finland,6.66,5.01,5.17,4.33,3.62,4.32,:,4.54,:,5.42,4.85,4.91,5.79
Sweden,:,6.14,6.27,:,:,:,6.28,:,:,:,5.94,6.48,7.09
Iceland,:,:,:,:,:,:,:,:,4.21,4.18,4.03,4.2,4.63
Norway,:,3.43,3.35,3.13,3.18,3.16,3.27,3.38,:,3.4,3.35,3.73,4.04
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:
United Kingdom,5.79,:,5.38,:,:,:,5.67,5.81,5.87,5.97,6.15,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,4.98,4.83,4.62,:,:,:,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:
North Macedonia,:,:,:,4.16,4.12,3.55,3.26,3.26,3.4,:,:,4.18,:
Serbia,:,:,:,:,:,:,:,:,:,4.42,4.51,4.92,:
